label,split,filename
1,train,0.csv
0,train,1.csv
0,train,2.csv
1,train,3.csv
1,train,4.csv
0,train,5.csv
0,train,6.csv
0,train,7.csv
0,train,8.csv
0,train,9.csv
1,train,10.csv
1,train,11.csv
1,train,12.csv
1,train,13.csv
1,train,14.csv
1,train,15.csv
0,train,16.csv
0,train,17.csv
0,train,18.csv
1,train,19.csv
0,train,20.csv
1,train,21.csv
1,train,22.csv
1,train,23.csv
0,train,24.csv
0,train,25.csv
0,train,26.csv
1,train,27.csv
1,train,28.csv
1,train,29.csv
1,train,30.csv
0,train,31.csv
0,train,32.csv
0,train,33.csv
1,train,34.csv
1,train,35.csv
1,train,36.csv
0,train,37.csv
0,train,38.csv
0,train,39.csv
0,train,40.csv
1,train,41.csv
1,train,42.csv
0,train,43.csv
0,train,44.csv
0,train,45.csv
1,train,46.csv
0,train,47.csv
0,train,48.csv
1,train,49.csv
1,train,50.csv
0,train,51.csv
0,train,52.csv
0,train,53.csv
1,train,54.csv
1,train,55.csv
0,train,56.csv
1,train,57.csv
1,train,58.csv
1,train,59.csv
0,train,60.csv
0,train,61.csv
1,train,62.csv
1,train,63.csv
0,train,64.csv
1,train,65.csv
1,train,66.csv
0,train,67.csv
0,train,68.csv
0,train,69.csv
1,train,70.csv
1,train,71.csv
1,train,72.csv
0,train,73.csv
0,train,74.csv
0,train,75.csv
0,train,76.csv
0,train,77.csv
1,train,78.csv
0,train,79.csv
0,train,80.csv
1,train,81.csv
0,train,82.csv
1,train,83.csv
1,train,84.csv
1,train,85.csv
0,train,86.csv
0,train,87.csv
1,train,88.csv
1,train,89.csv
1,train,90.csv
0,train,91.csv
1,train,92.csv
0,train,93.csv
1,train,94.csv
1,train,95.csv
1,train,96.csv
0,train,97.csv
0,train,98.csv
1,train,99.csv
